央视卫视,#genre#
CCTV1综合,https://cdn6.cc.cd/163189/cctv1$LR•IPV4•29『线路1』
CCTV1综合,http://mg.cttv.vip/608807420$LR•IPV4•29『线路2』
CCTV1综合,http://chen.ccwu.cc:1234/608807420$LR•IPV4•29『线路3』
CCTV1综合,http://2280.eu.org:1234/608807420$LR•IPV4•29『线路4』
CCTV1综合,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub$LR•IPV4•29『线路5』
CCTV1综合,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009$LR•IPV4•29『线路6』
CCTV1综合,http://38.75.136.137:98/gslb/dsdqca/cctv1hd.m3u8?auth=test20251009$LR•IPV4•29『线路7』
CCTV1综合,http://120.76.248.139/live/bfgd/4200000484.m3u8$LR•IPV4•29『线路8』
CCTV1综合,http://120.76.248.139/live/bfgd/4200000488.m3u8$LR•IPV4•29『线路9』
CCTV1综合,http://120.76.248.139/live/bfgd/4200000489.m3u8$LR•IPV4•29『线路10』
CCTV1综合,http://120.76.248.139/live/bfgd/4200000201.m3u8$LR•IPV4•29『线路11』
CCTV1综合,http://107.150.60.122/live/cctv1hd.m3u8$LR•IPV4•29『线路12』
CCTV1综合,http://192.151.150.154/live/cctv1hd.m3u8$LR•IPV4•29『线路13』
CCTV1综合,http://198.204.228.26/live/cctv1hd.m3u8$LR•IPV4•29『线路14』
CCTV1综合,http://bztv.tvbus.cc:8081/cdnlive/cctv1.m3u8$LR•IPV4•29『线路15』
CCTV1综合,http://173.208.212.130:8181/720p/cctv1.m3u8$LR•IPV4•29『线路16』
CCTV1综合,http://173.208.212.130:8181/1080p/cctv1.m3u8$LR•IPV4•29『线路17』
CCTV1综合,http://112.30.73.119:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4•29『线路18』
CCTV1综合,http://112.30.73.119:9901/tsfile/live/1425_1.m3u8?key=txiptv&playlive=0&authid=0$LR•IPV4•29『线路19』
CCTV1综合,http://45.192.97.170:8880/play/1.m3u8$LR•IPV4•29『线路20』
CCTV1综合,http://f.123.rr.kg/163189/cctv1$LR•IPV4•29『线路21』
CCTV1综合,http://120.48.113.49:6006/608807420$LR•IPV4•29『线路22』
CCTV1综合,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000004000002226&livemode=1&stbId=yu&mode=1&$8M$LR•IPV4•29『线路23』
CCTV1综合,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000010000030810&livemode=1&stbId=yu&mode=1&$4M$LR•IPV4•29『线路24』
CCTV1综合,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=yu&mode=1&$8M$LR•IPV4•29『线路25』
CCTV1综合,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000001000021973&livemode=1&stbId=yu&mode=1&$4M$LR•IPV4•29『线路26』
CCTV1综合,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=yu&mode=1&$6M$LR•IPV4•29『线路27』
CCTV1综合,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=ystenlive&Contentid=reallive-cctv1&livemode=1&stbId=yu&mode=1&$2M$LR•IPV4•29『线路28』
CCTV1综合,http://gslbserv.itv.cmvideo.cn:80/1.m3u8?channel-id=bestzb&Contentid=5000000001000004953&livemode=1&stbId=yu&mode=1&$4M$LR•IPV4•29『线路29』
CCTV1综合,http://smzb.bypbwxx.top/lvdou/zhibojm-yangshi.php?token=6607337aa8fa6d6cd9b46915384af2$LR•IPV4•29『线路30』
CCTV1综合,http://111.8.242.127:9999/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4•29『线路31』
CCTV1综合,http://218.206.193.218:8888/hls/1/index.m3u8$LR•IPV4•29『线路32』
CCTV1综合,http://222.134.19.49:8090/608807420$LR•IPV4•29『线路33』
CCTV1综合,http://223.167.230.155:4022/rtp/239.45.3.145:5140$LR•IPV4•29『线路34』
CCTV1综合,http://69.30.245.50/live/cctv1.m3u8$LR•IPV4•29『线路35』
CCTV1综合,http://198.204.240.250:82/live/cctv1.m3u8$LR•IPV4•29『线路36』
CCTV1综合,http://74.91.26.218:82/live/cctv1hd.m3u8$LR•IPV4•29『线路37』
CCTV1综合,http://play.kankanlive.com/live/1698234869325962.m3u8$LR•IPV4•29『线路38』
CCTV2财经,http://mg.cttv.vip/631780532$LR•IPV4•29『线路1』
CCTV2财经,http://chen.ccwu.cc:1234/631780532$LR•IPV4•29『线路2』
CCTV2财经,http://2280.eu.org:1234/631780532$LR•IPV4•29『线路3』
CCTV2财经,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub$LR•IPV4•29『线路4』
CCTV2财经,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009$LR•IPV4•29『线路5』
CCTV2财经,http://38.75.136.137:98/gslb/dsdqca/cctv2hd.m3u8?auth=test20251009$LR•IPV4•29『线路6』
CCTV2财经,http://38.75.136.137:98/gslb/dsdqca/gzwshd.m3u8?auth=test20251009$LR•IPV4•29『线路7』
CCTV2财经,http://120.76.248.139/live/bfgd/4200000061.m3u8$LR•IPV4•29『线路8』
CCTV2财经,http://107.150.60.122/live/cctv2hd.m3u8$LR•IPV4•29『线路9』
CCTV2财经,http://192.151.150.154/live/cctv2hd.m3u8$LR•IPV4•29『线路10』
CCTV2财经,http://198.204.228.26/live/cctv2hd.m3u8$LR•IPV4•29『线路11』
CCTV2财经,http://bztv.tvbus.cc:8081/cdnlive/cctv2.m3u8$LR•IPV4•29『线路12』
CCTV2财经,http://173.208.212.130:8181/720p/cctv2.m3u8$LR•IPV4•29『线路13』
CCTV2财经,http://173.208.212.130:8181/1080p/cctv2.m3u8$LR•IPV4•29『线路14』
